Identity,near_dist_m.1,near_dist_m.2,near_dist_m.3
338,0.01,1.4,0.11
339,0,0.03,0.29
340,0.01,0.17,0.02
341,0.01,0.04,2.06
342,0.02,0.33,0.2
343,0.02,0.17,0.07
344,0.01,0.13,0.62
345,0.01,0.49,2.26
346,0.02,1.72,0.04
347,0.01,1.73,0.06
348,0.01,0.02,0.04
349,0,0.06,0.13
350,0,0.01,0.18
351,0,3.05,0.05
352,0,0.09,0.28
353,0.01,0.13,0.63
354,0.03,0.87,1.35
355,0.01,0.11,0.09
356,0.03,0.95,1.12
357,0.01,0.45,0.96
358,0.02,1.81,2.5
359,0.02,0.04,1.43
360,0,2.29,1.31
361,0,0.06,1.38
362,0,0.13,0.09
363,0,0.11,0.11
364,0.01,0.06,0.02
365,0.01,0.21,0.17
366,0,0.15,0.85
367,0,1.05,0.16
368,0.02,0.4,0.21
369,0.01,0.04,0.07
370,0.02,0.53,0.24
371,0.01,1.33,0.48
372,0.02,0.79,0.27
373,0.03,0.78,0.79
374,0,0.06,0.03
375,0,0.45,0.13
376,0.01,0.02,0.27
377,0.01,0.04,0.44
378,0,0.44,0.63
379,0.01,0.06,0.09
380,0.01,0.68,3.04
