site,type,bipolar,max_length,max_width,max_thickness,mass
klipfonteinrand,core,freehand,21.7,18.6,13.7,6.3
sehonghong,flake,freehand,14.25,6.91,3.18,0.35
sehonghong,core,freehand,26.55,39.03,18.87,19.06
sehonghong,flake,freehand,15.46,6.7,1.62,0.19
sehonghong,core,freehand,21.17,42.26,23.17,17.92
klipfonteinrand,core,bipolar,17.6,14.3,10.5,3
sehonghong,core,freehand,21.33,15.84,21.98,13.22
sehonghong,flake,freehand,10.77,2.95,1.16,0.01
sehonghong,flake,freehand,8.27,3.08,1.49,0.02
klipfonteinrand,core,freehand,21.2,18.2,11.7,5
sehonghong,flake,freehand,21.48,21,6.4,2.26
sehonghong,flake,freehand,20.09,16.43,6.28,1.36
sehonghong,flake,freehand,13.11,7.98,1.47,0.19
klipfonteinrand,core,freehand,19.9,14.5,14.2,3.5
sehonghong,flake,freehand,17.92,16.97,2.38,0.58
sehonghong,flake,freehand,23.57,26.6,9.37,7.33
sehonghong,flake,bipolar,20.05,10.77,4.24,1.1
klipfonteinrand,flake,bipolar,12.6,4.7,1.4,0.1
sehonghong,flake,freehand,7.89,11.97,2.27,0.18
sehonghong,flake,freehand,7.38,9.19,0.84,0.02
sehonghong,flake,freehand,8.28,12.08,1.67,0.16
sehonghong,flake,freehand,9.94,5.09,1.21,0.1
klipfonteinrand,flake,freehand,15.8,14,8,1.3
sehonghong,flake,freehand,10.89,5.96,1.47,0.12
klipfonteinrand,flake,freehand,35.3,15.8,15.9,7
sehonghong,flake,freehand,7.42,7.18,1.94,0.11
sehonghong,flake,freehand,9.25,5.44,1.34,0.06
klipfonteinrand,flake,freehand,15.7,7.5,2.8,0.1
sehonghong,flake,freehand,11.45,6.25,1.92,0.13
sehonghong,flake,freehand,11.3,8.78,1.38,0.11
sehonghong,flake,freehand,10.44,4.86,1.26,0.06
sehonghong,flake,freehand,8.67,3.89,1.37,0.05
sehonghong,flake,bipolar,10.81,5.62,1.37,0.06
sehonghong,flake,freehand,26.7,14.81,6.12,2.36
sehonghong,flake,freehand,24.6,10.27,3.96,1.15
sehonghong,flake,freehand,7.64,3.56,0.85,0.03
sehonghong,flake,freehand,7.33,2.81,0.64,0.02
klipfonteinrand,flake,freehand,37.5,18.5,8.7,5.3
sehonghong,flake,bipolar,8.31,4.22,2.26,0.06
sehonghong,flake,freehand,16.19,10.87,6.24,1.15
sehonghong,flake,bipolar,29.88,10.2,7.95,2.59
klipfonteinrand,flake,freehand,25.3,14.5,5.1,2.3
klipfonteinrand,core,bipolar,11,8.2,3.8,0.1
klipfonteinrand,flake,bipolar,13.3,10.9,3.6,0.1
klipfonteinrand,flake,freehand,23.1,13.4,6.2,1.2
klipfonteinrand,core,bipolar,18.9,17.9,11.1,3.5
sehonghong,flake,freehand,39.17,NA,11.01,20.07
klipfonteinrand,flake,freehand,23.8,14.2,6.9,2.5
sehonghong,flake,freehand,36.36,20.1,4.61,3.04
klipfonteinrand,flake,freehand,15.7,9.9,3,0.1
sehonghong,flake,freehand,26.85,25.21,8.63,3.76
klipfonteinrand,flake,freehand,36.7,18.2,7.5,2.7
klipfonteinrand,flake,freehand,22.1,11.9,3,0.7
sehonghong,flake,bipolar,24.36,22.95,8.86,3.7
sehonghong,flake,freehand,12.2,8.84,7.22,0.79
sehonghong,flake,bipolar,14.52,6.41,3,0.28
sehonghong,flake,freehand,16.37,10.18,4.79,0.76
sehonghong,flake,freehand,18.13,11.38,5.87,1.21
sehonghong,flake,freehand,17.19,19.14,3.39,0.81
klipfonteinrand,core,bipolar,24.2,17.8,14.2,6.7
sehonghong,flake,bipolar,16.48,9.21,3.22,0.47
klipfonteinrand,flake,bipolar,18.4,11.6,5.1,0.8
sehonghong,flake,freehand,7.36,14.05,2.26,0.18
klipfonteinrand,flake,freehand,16.3,12.5,4.3,0.7
klipfonteinrand,flake,freehand,21.3,17.4,7.3,1.6
klipfonteinrand,flake,freehand,31,14.2,7,2.6
klipfonteinrand,core,bipolar,19.7,13.6,9.5,2.9
klipfonteinrand,flake,freehand,15.2,12.2,7.4,1.1
klipfonteinrand,core,bipolar,30.1,15.5,12.1,5.9
sehonghong,flake,freehand,14.97,7.87,1.29,0.22
sehonghong,flake,bipolar,12.25,5.66,2.95,0.2
sehonghong,flake,freehand,12.61,14.29,3.59,0.32
klipfonteinrand,core,bipolar,32.1,21.7,15.1,11
